Process count;dir250.1;dir250.2;dir250.3;dir250.4;dir1000

1;31833;17408;23843;25443;169987

2;53682;52452;50537;34131;158515

4;43943;39480;26085;26728;170061

8;51055;39729;43409;63045;235302

16;56444;51786;57385;51274;198415

